model,prompt_type,pos_debias,self_consist,accuracy,samples,duration
gemma2-9b-it,cot,False,False,0.57,100,0:06:33
glm4.1v-9b-thinking,cot,False,False,0.55,100,0:41:08
llama3.1-8b-instruct,cot,False,False,0.5,100,0:08:01
qwen2.5-7b-instruct,cot,True,False,0.41,100,0:14:28
qwen2.5-7b-instruct,cot,False,True,0.53,100,0:36:18
qwen2.5-7b-instruct,cot,False,False,0.56,100,0:07:33
qwen2.5-7b-instruct,cot,True,True,0.43,100,1:12:42
qwen2.5-7b-instruct,cot(swapped),False,False,0.22,100,0:07:20
gemma2-9b-it,four_shot,False,False,0.4,100,0:00:39
llama3.1-8b-instruct,four_shot,False,False,0.34,100,0:00:22
qwen2.5-7b-instruct,four_shot,False,False,0.38,100,0:00:23
gemma2-9b-it,two_shot,False,False,0.41,100,0:00:35
llama3.1-8b-instruct,two_shot,False,False,0.4,100,0:00:20
qwen2.5-7b-instruct,two_shot,False,False,0.36,100,0:00:20
gemma2-9b-it,zero_shot,False,False,0.5,100,0:00:20
glm4.1v-9b-thinking,zero_shot,False,False,0.55,100,0:16:55
llama3.1-8b-instruct,zero_shot,False,False,0.44,100,0:00:12
qwen2.5-7b-instruct,zero_shot,False,False,0.52,100,0:00:09
qwen2.5-7b-instruct,zero_shot,True,False,0.42,100,0:00:18
qwen2.5-7b-instruct,zero_shot,False,True,0.5,100,0:00:27
qwen2.5-7b-instruct,zero_shot,True,True,0.41,100,0:00:54
